Artist_and_Track_Name,All_Streams,Position
Martin Garrix - In the Name of Love,82620574,136
Hailee Steinfeld - Most Girls,82590989,137
Burak Yeter - Tuesday,82351123,138
Lil Uzi Vert - Money Longer,81332521,139
The Vamps - All Night,81010533,140
G-Eazy - No Limit,80837576,141
Ayo & Teo - Rolex,80540479,142
Kygo - First Time,80332020,143
Future - Selfish,80258444,144
Steve Aoki - Just Hold On,79157085,145
Playboi Carti - wokeuplikethis*,78936148,146
P!nk - What About Us,78831938,147
Travis Scott - beibs in the trap,78201627,148
A$AP Ferg - Plain Jane,77732233,149
Twenty One Pilots - Heathens,77694959,150
Robin Schulz - OK,77166804,151
Big Sean - Moves,77105758,152
Bebe Rexha - Meant to Be (feat. Florida Georgia Line),76702024,153
"Major Lazer - Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",76317048,154
XXXTENTACION - Fuck Love (feat. Trippie Redd),75542476,155
Tee Grizzley - First Day Out,75507666,156
Lil Uzi Vert - You Was Right,74207159,157
Gucci Mane - Both (feat. Drake),74153982,158
Calvin Harris - Rollin,74026984,159
Wisin - Escápate Conmigo,73883774,160
21 Savage - No Heart,73447327,161
Kygo - Stargazing,73169335,162
Rihanna - Love On The Brain,72515619,163
Kodak Black - Roll In Peace (feat. XXXTENTACION),72006166,164
G-Eazy - Good Life (with G-Eazy & Kehlani),72000993,165
Kesha - Praying,71276644,166
Bryson Tiller - Don't,71001998,167
6LACK - PRBLMS,70977975,168
Major Lazer - Cold Water (feat. Justin Bieber & MØ),70454832,169
Selena Gomez - Fetish (feat. Gucci Mane),69670442,170
Camila Cabello - Crying in the Club,69611345,171
Charlie Puth - How Long,69200556,172
"Justin Timberlake - CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",69175018,173
Avicii - Without You (feat. Sandro Cavazza),68954868,174
Russ - What They Want,67772711,175
Halsey - Bad At Love,67268507,176
Drake - Signs,67175793,177
Rob $tone - Chill Bill,66838555,178
Nicky Jam - El Amante,66789182,179
Shawn Mendes - Treat You Better,65635268,180
Petit Biscuit - Sunset Lover,65581186,181
Bryson Tiller - Exchange,65483979,182
Taylor Swift - ...Ready For It?,65428150,183
Lorde - Green Light,64902329,184
2 Chainz - 4:00 AM,64393269,185
Future - Low Life,63648353,186
Shawn Mendes - Mercy,63490934,187
Lady Gaga - The Cure,62183921,188
J. Cole - Neighbors,61423845,189
Offset - Ric Flair Drip (& Metro Boomin),59796687,190
Young Thug - Relationship (feat. Future),59555471,191
Alok - Hear Me Now,59056235,192
The Weeknd - Party Monster,58621375,193
Mariah Carey - All I Want for Christmas Is You,58509329,194
JP Cooper - September Song,58147616,195
Ed Sheeran - Happier,57965720,196
Logic - Everybody,57381168,197
Alessia Cara - Scars To Your Beautiful,56359639,198
CNCO - Reggaetón Lento (Bailemos),55868439,199
Twenty One Pilots - Ride,55668739,200
Robin Schulz - Shed a Light,54966496,201
Kane Brown - What Ifs,54933148,202
Khalid - Saved,54240229,203
Desiigner - Panda,53781394,204
Ed Sheeran - Photograph,53740933,205
PnB Rock - Selfish,53619881,206
OneRepublic - Rich Love (with Seeb),53559434,207
The Chainsmokers - All We Know,53327008,208
Luke Combs - Hurricane,53158566,209
Sage The Gemini - Now and Later,53105966,210
Migos - MotorSport,53032434,211
Brett Young - In Case You Didn't Know,52454549,212
Tee Grizzley - From The D To The A (feat. Lil Yachty),52306163,213
Bruno Mars - Versace On The Floor,51959917,214
Ofenbach - Be Mine,50870468,215
